State,Population,AreaInSqKm,DensityPerSqKm
Andhra Pradesh,49577103,162968,303
Arunachal Pradesh,1383727,83743,17
Assam,31205576,78438,397
Bihar,104099452,94163,1106
Chhattisgarh,25545198,135191,189
Goa,1458545,3702,394
Gujarat,60439692,196024,308
Haryana,25351462,44212,573
Himachal Pradesh,6864602,55673,123
Jharkhand,32988134,79716,414
Karnataka,61095297,191791,319
Kerala,33406061,38863,860
Madhya Pradesh,72626809,308245,236
Maharashtra,112374333,307713,365
Manipur,2855794,22327,128
Meghalaya,2966889,22429,132
Mizoram,1097206,21081,52
Nagaland,1978502,16579,119
Odisha,41974218,155707,269
Punjab,27743338,50362,551
Rajasthan,68548437,342239,201
Sikkim,610577,7096,86
Tamil Nadu,72147030,130058,555
Telangana,35003674,112077,312
Tripura,3673917,10486,350
Uttar Pradesh,199812341,240928,828
Uttarakhand,10086292,53483,189
West Bengal,91276115,88752,1029
Andaman and Nicobar Islands,380581,8249,46
Chandigarh,1055450,114,9252
Dadra and Nagar Haveli and Daman and Diu,586956,603,970
Delhi,16787941,1484,11320
Jammu and Kashmir,12267032,222236,56
Ladakh,274289,59146,5
Lakshadweep,64473,32,2013
Puducherry,1247953,479,2598
